450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0331251994,0.0341312513,0.0306107886,0.0402071215,0.0311822966,0.0321803950,0.0361230299,0.0504403561,2,1,1,0,23.474661
0.0067674327,0.0095512075,0.0099599008,0.0144063821,0.0094134007,0.0096048219,0.0118449256,0.0180744808,2,1,1,1,7.542843
0.0053516016,0.0115299802,0.0109607866,0.0173232723,0.0082852338,0.0064595081,0.0117239868,0.0226856247,2,1,1,1,1.133402
0.0053568110,0.0036590784,0.0046200966,0.0036561596,0.0042808834,0.0024584271,0.0033119493,0.0052976697,2,2,1,2,0.290573
0.0421978869,0.0416650176,0.0392860621,0.0466307439,0.0353591032,0.0325951464,0.0385445617,0.0604475625,2,2,1,0,33.881832
0.0059327483,0.0031865377,0.0021797300,0.0004878480,0.0039769495,0.0040074014,0.0000809265,0.0016617579,2,2,1,2,6.831788
0.0046679354,0.0055969334,0.0050674058,0.0056418278,0.0045163459,0.0054561282,0.0038238061,0.0067871669,2,1,1,1,3.250392
0.0153446235,0.0063430248,0.0065523507,0.0037540742,0.0053161141,0.0043413560,0.0044938382,0.0063665682,2,2,1,2,14.317103
-0.0053116768,-0.0092050256,-0.0080013769,-0.0121577056,-0.0071570044,-0.0083452696,-0.0099785095,-0.0151117286,2,2,1,2,-23.053150
0.0404724777,0.0416443050,0.0374293812,0.0478848666,0.0351031423,0.0355298966,0.0387851447,0.0598659851,2,1,1,0,25.126291
0.0780098438,0.0807863027,0.0730774403,0.0903017819,0.0659481958,0.0641740561,0.0733357370,0.1125943363,2,2,1,2,72.784096
0.0153765911,0.0196301546,0.0190638117,0.0233003125,0.0176330321,0.0170758385,0.0194608048,0.0285824053,2,1,1,0,16.847155
0.0176062789,0.0164140090,0.0158500243,0.0198814943,0.0176691823,0.0180189013,0.0170712397,0.0240043215,2,1,1,0,23.883623
0.0063807638,0.0105585288,0.0101334164,0.0169051755,0.0076099671,0.0078114211,0.0126117775,0.0222715903,2,1,1,1,7.057524
0.0366990529,0.0390402377,0.0357445255,0.0462237746,0.0347666070,0.0357196294,0.0391466990,0.0574410744,2,1,1,0,23.928415
0.2205496430,0.2202389836,0.1939894110,0.2703126073,0.1896338761,0.1968512982,0.2328535467,0.3536591232,2,2,1,2,59.571472
0.0583174825,0.0620863512,0.0551510639,0.0748197958,0.0516175665,0.0526828915,0.0624611564,0.0931496918,2,2,1,0,71.355324
0.0127307093,0.0143730845,0.0132622290,0.0190745275,0.0123319225,0.0128361862,0.0142449010,0.0251795221,2,1,1,1,5.863392
0.0199957993,0.0199782234,0.0190157015,0.0237174407,0.0194631536,0.0199761018,0.0211606752,0.0288000554,2,1,1,0,24.600494
0.0053034294,0.0115299802,0.0107537722,0.0173971020,0.0084435809,0.0064595081,0.0118986880,0.0225199554,2,1,1,1,1.133402
0.0326389745,0.0367145315,0.0324257500,0.0421506315,0.0358759426,0.0306799076,0.0363601148,0.0529193319,2,1,1,0,23.474661
0.0263445061,0.0245550033,0.0228851177,0.0288004670,0.0249906927,0.0257542823,0.0255801436,0.0335676260,2,1,1,0,24.520260
-0.0054972465,-0.0043340931,-0.0025814655,-0.0033774404,-0.0034092008,-0.0045552142,-0.0037635393,-0.0038162172,2,2,1,1,-23.053150
0.0121076228,0.0007189999,0.0021715125,-0.0025093695,0.0018684001,0.0017775828,0.0004533357,-0.0015765129,2,2,2,2,7.183367
0.0042612180,0.0092225494,0.0082373973,0.0147239268,0.0070269359,0.0073017920,0.0107042929,0.0195093509,2,1,1,1,0.739575
0.0790328532,0.0776077211,0.0700230375,0.0915863067,0.0674145594,0.0695445389,0.0806828812,0.1131734774,2,2,1,2,72.818657
0.0409151316,0.0400080718,0.0345429108,0.0470022038,0.0352162831,0.0357977003,0.0409501344,0.0583254695,2,1,1,0,33.692356
0.0458558016,0.0483710095,0.0427894928,0.0582348444,0.0410153791,0.0418849960,0.0492907576,0.0714822561,2,2,1,0,60.306210
0.0047498397,0.0003843599,0.0007526039,-0.0031347764,0.0004211396,-0.0013202989,-0.0012858178,-0.0021805721,2,2,2,2,-10.709572
0.0577345900,0.0573611893,0.0507173836,0.0672569871,0.0507114418,0.0522655919,0.0583544374,0.0836956352,2,2,1,0,68.730324
0.0161500517,0.0071612089,0.0072347587,0.0050784401,0.0063664555,0.0054706647,0.0058279536,0.0073972507,2,2,1,2,17.575041
0.0134110665,0.0154049182,0.0138377268,0.0194950644,0.0130527997,0.0134043517,0.0146102933,0.0263909083,2,1,1,1,5.863392
0.0212125722,0.0203960501,0.0192310195,0.0236442368,0.0194084793,0.0196602643,0.0211606752,0.0289227888,2,1,1,0,24.588131
0.0036979681,0.0038038671,0.0038433843,0.0049310559,0.0031878781,0.0023587137,0.0031644758,0.0062430776,2,2,1,1,0.262291
0.0544865765,0.0554745793,0.0521771051,0.0630272627,0.0466272756,0.0450973324,0.0509142391,0.0796949044,2,2,2,0,60.404980
