,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,percent
206,0.0790298126075927,0.07909042215359,0.0691347223720703,0.0643994214907056,0.0646181783973045,0.0670734049700745,0.0676343580784475,0.0684300979741847,100.0
1015,0.0270106259736436,0.0182360477714033,0.0169685029255568,0.0120488264229308,0.0133429438725541,0.0128813343114328,0.0127991997699707,0.0129942150004264,70.0
379,0.0078166779422028,0.0078534003426117,0.0061387487394499,0.0067831550587547,0.0047929199096556,0.0048802103888179,0.0051523706846004,0.0070029316122148,60.0
970,0.0103456501447996,0.0064987147209189,0.0060749351762371,0.0031966192995441,0.0034899289587866,0.0027338551284217,0.0023592683951016,0.0030460245359537,40.0
384,0.0084395480418222,0.0065473443637491,0.0057914409735546,0.0063057309684112,0.0047121729793033,0.0049439424256184,0.0054882418561674,0.0066726569214957,70.0
880,0.0020147791607817,0.0014563902517524,-2.5548863459577466e-05,0.0013425684290205,0.0011767580971195,0.0004733227483908,0.0005979751853695,0.0011048457165511,10.0
761,0.0684255671632094,0.0687096491466981,0.0636105415904235,0.0527982782254431,0.0545365879302291,0.0527017341919972,0.0529159159804231,0.0556271514378619,40.0
973,0.0114489541725979,0.0074343831869368,0.0069413208024724,0.0038512523118508,0.0039892295978243,0.0032132647936087,0.0030279709960498,0.0035038713120928,40.0
33,0.0212125745219303,0.0202502366150124,0.0182626938534228,0.0165712397329956,0.0179951755824054,0.0187542843328118,0.0172506704505856,0.0163493972970617,8.0
411,0.0178680488963998,0.0199632846161318,0.0186033740205571,0.0174673570524643,0.016944052941284,0.014724678671686,0.0152141371197852,0.0182913777863547,100.0
777,0.0718176579366786,0.0730735622648957,0.0669138084713912,0.0567344167291053,0.0582852677104569,0.0551286421598286,0.0563411342892554,0.0600504899126612,45.0
528,0.0654610584698168,0.0641335839079436,0.05742422310923,0.0513593587656747,0.0514847634256371,0.0534849936746567,0.0550655730347407,0.053398645072583,25.0
295,0.0012551640634368,0.0069021630083259,0.006544346269063,0.0080717090230458,0.0051911546722379,0.0033461046165377,0.0060824900107471,0.008044200544036,18.0
983,0.0127837626833935,0.0043449681820293,0.0040220870366269,0.0016089898903868,0.0030782426217233,0.0023747188505157,0.0010373770114683,0.001463024310074,45.0
412,0.0177269218645787,0.0197937114925954,0.0188257755616663,0.0172612496606037,0.0166934623695683,0.0148393283803206,0.0152487967324667,0.0181422630534317,100.0
20,0.0179846756181839,0.018698845621106,0.0168779314313442,0.015871152432716,0.0168319884855047,0.0176399897544676,0.0162351233250556,0.0161340900817734,6.0
829,0.1344821693032878,0.1287555142415719,0.1161936294728058,0.0978985437550538,0.0986894412852657,0.0949559450058913,0.0953980083095349,0.1057607382487448,90.0
741,0.0548442063986762,0.0558526378144655,0.051436263837742,0.043849524228901,0.044346330269063,0.0433286086526172,0.0436747237887399,0.045907759647026,30.0
636,0.0047617822836824,0.0054389041417413,0.0041261849266762,0.0039835231651984,0.0036832155994818,0.004683648295573,0.0036197081314895,0.0032864095459687,2.0
1045,0.0467876253889357,0.0377366185963122,0.0354916434568683,0.0276498792482773,0.0298352633350059,0.0294066682506686,0.0278519030739354,0.0311358063770394,100.0
460,0.0253628874271655,0.0225359600435579,0.0212019449475606,0.0187855349315746,0.0198394145748304,0.0210657542861009,0.020112381207109,0.0181516924677338,10.0
130,0.0326473539022804,0.0365614199981092,0.0315223760161178,0.0297058686029036,0.0341030899788693,0.0294839379989926,0.0307947374665261,0.0304368664159048,40.0
1034,0.0402799646100453,0.030829843496832,0.02785699280097,0.021525050085485,0.022079960939445,0.0229783530749614,0.0206433994576578,0.0247689781372951,90.0
644,0.0078404995082875,0.0085481136335914,0.0074968212338911,0.0076997686914381,0.0053512607055553,0.0062265704457962,0.0062386344978486,0.0071517221054996,4.0
837,0.1493814610867904,0.1430384152386992,0.1290667104084763,0.1080656983261753,0.1091187035590719,0.1050536677971266,0.1053043428000128,0.1181363467137548,100.0
859,-0.0030444130895659,-0.0070437215510938,-0.0071255922191835,-0.0067331751650506,-0.0056852407446462,-0.0058030781522636,-0.006537607044593,-0.0078471987940002,4.0
512,0.0418951406101374,0.0400537510888077,0.036496206266449,0.0333147675853944,0.0341851474581189,0.0353504518510722,0.034934557061851,0.033331604999488,20.0
696,0.0286129908932786,0.0307515096945669,0.0277280141976116,0.0242519820949297,0.0240145000238546,0.023300423477332,0.0231218759643628,0.024806581576796,14.0
